date,open,high,low,close,volume
2013-01-02,1539.5,1578.4000244140625,1536.5999755859375,1565.0999755859375,455
2013-01-03,1565.699951171875,1576.699951171875,1563.9000244140625,1576.699951171875,435
2013-01-04,1548.5999755859375,1558.5,1543.5999755859375,1555.199951171875,296
2013-01-07,1563.0,1563.5,1549.199951171875,1553.800048828125,69
2013-01-08,1562.699951171875,1584.5,1562.4000244140625,1580.5999755859375,68
2013-01-09,1589.800048828125,1601.4000244140625,1589.0,1597.800048828125,209
2013-01-10,1604.800048828125,1632.4000244140625,1604.800048828125,1632.4000244140625,126
2013-01-11,1630.699951171875,1636.300048828125,1629.300048828125,1629.300048828125,9
2013-01-14,1639.300048828125,1662.300048828125,1639.300048828125,1656.300048828125,26
2013-01-15,1663.5,1693.4000244140625,1655.800048828125,1688.0,64
2013-01-16,1683.5999755859375,1692.199951171875,1682.4000244140625,1692.199951171875,7
2013-01-17,1673.0,1697.800048828125,1673.0,1697.800048828125,35
2013-01-18,1687.800048828125,1688.0,1669.0,1672.0999755859375,84
2013-01-22,1676.4000244140625,1698.4000244140625,1675.800048828125,1698.4000244140625,15
2013-01-23,1691.699951171875,1691.699951171875,1688.9000244140625,1691.699951171875,1
2013-01-24,1682.300048828125,1682.800048828125,1674.0,1682.800048828125,6
2013-01-25,1687.0,1694.0999755859375,1680.4000244140625,1693.9000244140625,219
2013-01-28,1684.199951171875,1686.9000244140625,1661.199951171875,1661.199951171875,27
2013-01-29,1677.4000244140625,1677.4000244140625,1677.4000244140625,1677.4000244140625,2
2013-01-30,1687.800048828125,1687.800048828125,1687.800048828125,1687.800048828125,0
2013-01-31,1673.9000244140625,1673.9000244140625,1673.9000244140625,1673.9000244140625,0
2013-02-01,1686.199951171875,1686.199951171875,1686.199951171875,1686.199951171875,0
2013-02-04,1696.5999755859375,1696.5999755859375,1696.5999755859375,1696.5999755859375,0
2013-02-05,1705.699951171875,1705.699951171875,1705.699951171875,1705.699951171875,0
2013-02-06,1736.5,1736.5,1736.5,1736.5,0
2013-02-07,1722.300048828125,1722.300048828125,1722.300048828125,1722.300048828125,0
2013-02-08,1713.5,1713.5,1713.5,1713.5,0
2013-02-11,1695.0,1695.0,1695.0,1695.0,0
