Date,Silver_Price,Gold_Price,Copper_Price,Palladium_Price,Platinum_Price,IRL_Canada,IRL_Chile,IRL_Mexico,IRL_South Africa,IRL_United States,IRS_Canada,IRS_Chile,IRS_China (People's Republic of),IRS_Mexico,IRS_South Africa,IRS_United States,Oil_Price,US_CPI,Year,Month,Day
2021-02-17,27.315,1772.8,3.8235,2377.0,1261.4,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,60.14526315789473,264.09257894736845,2021,2,17
2021-02-18,27.078,1775.0,3.905,2349.5,1278.3,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,60.02210526315789,264.1906315789474,2021,2,18
2021-02-19,27.254,1777.4,4.077,2379.5,1297.1,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,59.89894736842105,264.2886842105263,2021,2,19
2021-02-22,28.085,1808.4,4.1465,2403.5,1286.4,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,59.775789473684206,264.3867368421053,2021,2,22
2021-02-23,27.688,1805.9,4.185,2356.0,1244.1,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,59.652631578947364,264.4847894736842,2021,2,23
2021-02-24,27.859,1797.9,4.3015,2441.0,1259.2,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,59.52947368421052,264.5828421052632,2021,2,24
2021-02-25,27.685,1775.4,4.2635,2403.0,1235.7,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,59.40631578947368,264.6808947368421,2021,2,25
2021-02-26,26.44,1728.8,4.0925,2305.0,1189.3,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,59.28315789473684,264.7789473684211,2021,2,26
2021-03-01,26.678,1723.0,4.113,2346.75,1195.1,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,59.16,264.877,2021,3,1
2021-03-02,26.879,1733.6,4.222,2358.0,1218.6,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,59.35217391304347,264.97165217391307,2021,3,2
2021-03-03,26.387,1715.8,4.142,2338.0,1186.6,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,59.544347826086955,265.0663043478261,2021,3,3
2021-03-04,25.461,1700.7,3.9785,2325.0,1139.9,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,59.73652173913043,265.16095652173914,2021,3,4
2021-03-05,25.287,1698.5,4.0755,2324.0,1132.9,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,59.92869565217391,265.2556086956522,2021,3,5
2021-03-08,25.269,1678.0,4.093,2318.0,1156.6,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,60.12086956521739,265.3502608695652,2021,3,8
2021-03-09,26.183,1716.9,4.0085,2292.5,1180.0,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,60.313043478260866,265.44491304347827,2021,3,9
2021-03-10,26.13,1721.8,4.0325,2297.5,1206.6,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,60.50521739130434,265.5395652173913,2021,3,10
2021-03-11,26.193,1722.6,4.139,2333.5,1207.0,1.48839682539683,3.84290099633333,6.53259532766667,9.79076023391815,1.59333333333333,0.183437858666667,0.283261904761905,4.35,4.13666666666667,3.71253132832081,0.1,60.697391304347825,265.63421739130433,2021,3,11
